date,timestamp,bid_price,ask_price,change_amount,change_percent,day_low,day_high,source
2025-12-24,2025-12-24 04:39:17,4490.40,4492.40,+47.80,+1.08,4430.40,4498.60,kitco
2025-12-24,2025-12-24 04:42:03,4489.00,4491.00,+46.40,+1.04,4430.40,4498.60,kitco
2025-12-24,2025-12-24 05:06:06,4492.80,4494.80,+50.20,+1.13,4430.40,4500.50,kitco
2025-12-24,2025-12-24 13:01:13,4497.60,4499.60,+13.90,+0.31,4471.80,4525.80,kitco
2025-12-24,2025-12-24 13:04:04,4499.70,4501.70,+16.00,+0.36,4471.80,4525.80,kitco
2025-12-24,2025-12-24 13:05:04,4499.70,4501.70,+16.00,+0.36,4471.80,4525.80,kitco
2025-12-24,2025-12-24 13:06:04,4495.20,4497.20,+11.50,+0.26,4471.80,4525.80,kitco
2025-12-24,2025-12-24 14:00:04,4488.70,4490.70,+5.00,+0.11,4471.80,4525.80,kitco
2025-12-24,2025-12-24 15:00:04,4493.20,4495.20,+9.50,+0.21,4471.80,4525.80,kitco
2025-12-24,2025-12-24 16:00:04,4483.20,4485.20,-0.50,-0.01,4471.80,4525.80,kitco
2025-12-24,2025-12-24 17:00:05,4482.00,4484.00,-1.70,-0.04,4471.80,4525.80,kitco
2025-12-24,2025-12-24 18:00:05,4493.90,4495.90,+10.20,+0.23,4471.80,4525.80,kitco
2025-12-24,2025-12-24 19:00:05,4488.60,4490.60,+4.90,+0.11,4471.80,4525.80,kitco
2025-12-24,2025-12-24 20:00:06,4490.60,4492.60,+6.90,+0.15,4471.80,4525.80,kitco
2025-12-24,2025-12-24 21:00:06,4490.90,4492.90,+7.20,+0.16,4471.80,4525.80,kitco
2025-12-24,2025-12-24 22:00:06,4485.80,4487.80,+2.10,+0.05,4471.80,4525.80,kitco
2025-12-24,2025-12-24 23:00:07,4466.60,4468.60,-17.10,-0.38,4462.90,4525.80,kitco
2025-12-25,2025-12-25 00:00:06,4458.50,4460.50,-25.20,-0.56,4449.20,4525.80,kitco
2025-12-25,2025-12-25 01:00:06,4476.80,4478.80,-6.90,-0.15,4449.20,4525.80,kitco
2025-12-25,2025-12-25 02:00:05,4478.80,4480.80,-4.90,-0.11,4449.20,4525.80,kitco
2025-12-25,2025-12-25 03:00:06,4478.60,4480.60,-5.10,-0.11,4449.20,4525.80,kitco
2025-12-25,2025-12-25 04:00:06,4478.60,4480.60,-5.10,-0.11,4449.20,4525.80,kitco
2025-12-25,2025-12-25 05:00:06,4478.60,4480.60,-5.10,-0.11,4449.20,4525.80,kitco
2025-12-25,2025-12-25 06:00:06,4478.60,4480.60,-5.10,-0.11,4449.20,4525.80,kitco
2025-12-25,2025-12-25 07:00:07,4478.60,4480.60,-5.10,-0.11,4449.20,4525.80,kitco
2025-12-25,2025-12-25 08:00:06,4478.60,4480.60,-5.10,-0.11,4449.20,4525.80,kitco
2025-12-25,2025-12-25 09:00:06,4478.60,4480.60,-5.10,-0.11,4449.20,4525.80,kitco
2025-12-25,2025-12-25 10:00:07,4478.60,4480.60,-5.10,-0.11,4449.20,4525.80,kitco
2025-12-25,2025-12-25 11:00:07,4478.60,4480.60,-5.10,-0.11,4449.20,4525.80,kitco
2025-12-25,2025-12-25 12:00:07,4478.60,4480.60,-5.10,-0.11,4449.20,4525.80,kitco
2025-12-25,2025-12-25 13:00:08,4478.60,4480.60,-5.10,-0.11,4449.20,4525.80,kitco
2025-12-25,2025-12-25 14:00:07,4478.60,4480.60,-5.10,-0.11,4449.20,4525.80,kitco
2025-12-25,2025-12-25 15:00:08,4478.60,4480.60,-5.10,-0.11,4449.20,4525.80,kitco
2025-12-25,2025-12-25 16:00:08,4478.60,4480.60,-5.10,-0.11,4449.20,4525.80,kitco
2025-12-25,2025-12-25 17:00:48,4478.60,4480.60,-5.10,-0.11,4449.20,4525.80,kitco
2026-02-03,2026-02-03 12:00:04,4805.00,4807.00,+146.30,+3.14,4404.00,4885.70,kitco
2026-02-03,2026-02-03 16:00:05,4916.90,4918.90,+258.20,+5.54,4659.90,4933.90,kitco
2026-02-04,2026-02-04 11:00:05,5043.10,5045.10,+97.30,+1.97,4659.90,5066.00,kitco
